time_s,phase_deg,amp_v,freq_hz
1.5800,-1.031,1.002936,99609.4
1.5900,-1.020,0.999494,99609.4
1.6000,-1.034,1.000220,99609.4
1.6100,-1.029,0.996595,99609.4
1.6200,-1.005,0.997740,99609.4
1.6300,-1.026,1.001840,99609.4
1.6400,-1.033,1.003436,99609.4
1.6500,-1.022,0.998494,99609.4
1.6600,-1.022,1.003114,99609.4
1.6700,-1.023,1.003994,99609.4
1.6800,-1.037,1.004133,99609.4
1.6900,-1.033,1.004111,99609.4
1.7000,-1.033,1.002671,99609.4
1.7100,-1.033,1.003382,99609.4
1.7200,-1.022,1.003912,99609.4
1.7300,-1.024,1.003859,99609.4
1.7400,-1.025,1.003599,99609.4
1.7500,-1.037,1.003913,99609.4
1.7600,-1.017,1.003338,99609.4
1.7700,-1.036,1.003549,99609.4
1.7800,-1.036,1.002296,99609.4
1.7900,-1.040,1.000186,99609.4
1.8000,-1.037,1.000801,99609.4
1.8100,-1.020,1.003000,99609.4
1.8200,-1.027,1.002080,99609.4
1.8300,-0.994,0.999987,99609.4
1.8400,-1.026,1.002026,99609.4
1.8500,-1.030,1.000700,99609.4
1.8600,-1.037,1.000452,99609.4
1.8700,-1.028,1.004102,99609.4
1.8800,-1.021,1.004010,99609.4
1.8900,-1.027,1.003926,99609.4
1.9000,-1.044,1.004049,99609.4
1.9100,-1.027,1.003773,99609.4
1.9200,-1.033,1.002961,99609.4
1.9300,-1.032,1.003372,99609.4
1.9400,-1.011,1.002380,99609.4
1.9500,-1.008,1.001870,99609.4
1.9600,-1.026,1.002301,99609.4
1.9700,-1.020,1.003852,99609.4
1.9800,-1.034,1.004024,99609.4
1.9900,-1.043,1.002881,99609.4
2.0000,-1.061,0.990650,99609.4
2.0100,-1.037,1.003506,99609.4
2.0200,-1.041,1.002951,99609.4
2.0300,-1.002,1.002002,99609.4
2.0400,-1.024,1.003467,99609.4
2.0500,-1.023,1.001381,99609.4
2.0600,-1.020,1.003856,99609.4
2.0700,-1.038,1.003515,99609.4
2.0800,-1.030,1.002525,99609.4
2.0900,-1.059,0.990593,99609.4
2.1000,-1.059,0.989053,99609.4
2.1100,-1.026,1.001757,99609.4
2.1200,-1.028,1.001909,99609.4
2.1300,-1.033,0.999426,99609.4
2.1400,-1.033,1.003867,99609.4
2.1500,-1.013,1.002182,99609.4
2.1600,-1.024,1.003782,99609.4
2.1700,-1.009,1.003216,99609.4
2.1800,-1.031,1.002962,99609.4
2.1900,-1.030,1.004043,99609.4
2.2000,-1.026,1.003028,99609.4
2.2100,-1.033,1.003312,99609.4
2.2200,-1.023,1.004077,99609.4
2.2300,-1.035,1.003709,99609.4
2.2400,-1.022,1.003777,99609.4
2.2500,-1.019,1.003571,99609.4
2.2600,-1.016,1.003425,99609.4
2.2700,-1.030,1.003990,99609.4
2.2800,-1.038,1.003649,99609.4
2.2900,-1.036,1.003522,99609.4
2.3000,-1.036,1.003847,99609.4
2.3100,-1.038,1.001343,99609.4
2.3200,-1.033,1.003821,99609.4
2.3300,-1.028,1.004014,99609.4
2.3400,-1.014,1.003924,99609.4
2.3500,-1.032,1.003517,99609.4
2.3600,-1.034,1.003790,99609.4
2.3700,-1.036,1.002948,99609.4
2.3800,-1.017,1.003760,99609.4
2.3900,-1.034,1.003536,99609.4
2.4000,-1.013,0.995903,99609.4
2.4100,-1.034,1.004085,99609.4
2.4200,-1.019,1.003157,99609.4
2.4300,-1.018,1.000645,99609.4
2.4400,-1.019,1.000919,99609.4
2.4500,-1.034,1.003698,99609.4
2.4600,-1.033,1.000812,99609.4
2.4700,-1.042,1.000098,99609.4
2.4800,-1.034,1.002783,99609.4
2.4900,-1.011,1.003456,99609.4
2.5000,-1.014,1.002280,99609.4
2.5100,-1.036,1.003783,99609.4
2.5200,-1.005,1.003325,99609.4
2.5300,-1.038,1.003070,99609.4
2.5400,-1.012,1.000836,99609.4
2.5500,-1.016,1.002628,99609.4
2.5600,-1.023,1.003903,99609.4
2.5700,-1.025,1.002813,99609.4
2.5800,-1.023,1.003899,99609.4
2.5900,-1.035,1.003136,99609.4
2.6000,-1.024,1.003551,99609.4
2.6100,-1.047,0.998847,99609.4
2.6200,-1.033,1.000326,99609.4
2.6300,-1.049,0.995804,99609.4
2.6400,-1.048,0.997488,99609.4
2.6500,-1.025,0.994088,99609.4
2.6600,-1.032,1.003565,99609.4
2.6700,-1.028,1.003901,99609.4
2.6800,-1.037,1.003931,99609.4
2.6900,-1.026,1.003265,99609.4
2.7000,-1.022,1.003775,99609.4
2.7100,-1.024,1.003662,99609.4
2.7200,-1.028,1.003838,99609.4
2.7300,-1.031,1.003461,99609.4
2.7400,-1.036,1.003335,99609.4
2.7500,-1.020,1.003960,99609.4
2.7600,-1.037,1.003803,99609.4
2.7700,-1.037,1.000399,99609.4
2.7800,-1.041,1.000656,99609.4
2.7900,-1.029,1.001474,99609.4
2.8000,-1.026,1.003480,99609.4
2.8100,-1.039,1.002504,99609.4
2.8200,-1.027,1.001259,99609.4
2.8300,-1.014,1.003704,99609.4
2.8400,-1.023,1.003899,99609.4
2.8500,-1.030,1.002133,99609.4
2.8600,-1.033,1.003517,99609.4
2.8700,-1.032,1.003931,99609.4
2.8800,-1.037,1.002915,99609.4
2.8900,-1.044,1.000806,99609.4
2.9000,-1.034,1.003783,99609.4
2.9100,-1.044,1.000417,99609.4
2.9200,-1.036,1.001781,99609.4
2.9300,-1.029,1.002594,99609.4
2.9400,-1.026,1.003658,99609.4
2.9500,-1.031,1.004034,99609.4
2.9600,-1.043,1.002211,99609.4
2.9700,-1.031,1.003838,99609.4
2.9800,-1.016,0.999673,99609.4
2.9900,-1.021,1.001785,99609.4
3.0000,-1.013,1.000716,99609.4
3.0100,-1.014,0.998727,99609.4
3.0200,-1.010,1.001213,99609.4
3.0300,-1.014,1.002179,99609.4
3.0400,-1.050,1.001303,99609.4
3.0500,-1.044,1.002818,99609.4
3.0600,-1.028,1.001946,99609.4
3.0700,-1.029,1.003894,99609.4
3.0800,-1.015,1.001270,99609.4
3.0900,-1.019,1.003754,99609.4
3.1000,-1.024,1.002817,99609.4
3.1100,-1.066,0.989890,99609.4
3.1200,-1.069,0.991075,99609.4
3.1300,-1.064,0.991439,99609.4
3.1400,-1.017,0.996751,99609.4
3.1500,-1.019,0.996264,99609.4
3.1600,-1.057,0.992228,99609.4
3.1700,-1.040,0.997540,99609.4
3.1800,-1.032,0.996987,99609.4
3.1900,-1.017,0.997017,99609.4
3.2000,-1.054,0.997910,99609.4
3.2100,-1.031,0.999621,99609.4
3.2200,-1.049,0.995136,99609.4
3.2300,-1.054,0.993118,99609.4
3.2400,-1.067,0.991351,99609.4
3.2500,-1.040,0.996526,99609.4
3.2600,-1.039,0.994536,99609.4
3.2700,-1.052,0.992123,99609.4
3.2800,-1.067,0.988537,99609.4
3.2900,-1.042,0.996179,99609.4
3.3000,-1.059,0.991514,99609.4
3.3100,-1.054,0.993487,99609.4
3.3200,-1.030,1.002410,99609.4
3.3300,-1.021,1.000796,99609.4
3.3400,-1.033,1.001269,99609.4
3.3500,-1.057,0.995589,99609.4
3.3600,-1.062,0.992112,99609.4
3.3700,-1.031,1.003232,99609.4
3.3800,-1.052,0.998267,99609.4
3.3900,-1.036,1.002301,99609.4
3.4000,-1.045,0.997348,99609.4
3.4100,-1.068,0.991483,99609.4
3.4200,-1.028,0.999901,99609.4
3.4300,-1.043,1.001116,99609.4
3.4400,-1.015,0.994898,99609.4
3.4500,-1.045,0.999080,99609.4
3.4600,-1.038,0.997341,99609.4
3.4700,-1.063,0.988733,99609.4
3.4800,-1.062,0.989329,99609.4
3.4900,-1.032,1.002613,99609.4
3.5000,-1.051,0.994740,99609.4
3.5100,-1.054,0.989486,99609.4
3.5200,-1.026,1.001267,99609.4
3.5300,-1.031,1.002241,99609.4
3.5400,-1.019,1.003675,99609.4
3.5500,-1.037,1.003100,99609.4
3.5600,-1.021,1.004048,99609.4
